Teacher:,Caroline,,
Class:,5B,,
Room:,B16,,
Date:,7/3/2018,,
4,0,Front Desk,
3,1,Desk,CYAN
4,1,Desk,CYAN
5,1,Desk,CYAN
6,1,Desk,CYAN
1,4,Desk,CYAN
2,4,Desk,CYAN
4,4,Desk,CYAN
5,4,Desk,CYAN
7,4,Desk,CYAN
8,4,Desk,CYAN
1,5,Jane,
2,5,Alisha,
5,5,Ahmed,
7,5,Peta,
8,5,Jenny,
1,7,Desk,CYAN
2,7,Desk,CYAN
4,7,Desk,CYAN
5,7,Desk,CYAN
7,7,Desk,CYAN
8,7,Desk,CYAN
1,8,Hanna,
2,8,Terri,
4,8,James,
5,8,Henri,
7,8,Cian,
8,8,Ana,
1,10,Desk,CYAN
2,10,Desk,CYAN
4,10,Desk,CYAN
5,10,Desk,CYAN
7,10,Desk,CYAN
8,10,Desk,CYAN
1,11,Han,
2,11,Mark,
4,11,Sian,
5,11,Sarah,
7,11,Makin,
8,11,John,
1,13,Desk,CYAN
2,13,Desk,CYAN
4,13,Desk,CYAN
5,13,Desk,CYAN
7,13,Desk,CYAN
8,13,Desk,CYAN
1,16,Desk,CYAN
2,16,Desk,CYAN
4,16,Desk,CYAN
5,16,Desk,CYAN
7,16,Desk,CYAN
8,16,Desk,CYAN
